y	 very	 very	 verygood	 99	99	66	99	99	99	99	66	 yes	 yes
y	 very	 very	 good	 99	4	99	99	3	99	99	5	 yes	 yes
y	 very	 very	 good	 99	4	99	99	4	99	99	4	 yes	 yes
y	 very	 somewhat	 verygood	 99	99	5	99	99	99	99	3	 yes	 yes
y	 very	 somewhat	 verygood	 99	99	5	99	99	99	99	4	 yes	 yes
dk	 very	 very	 verygood	 99	5	5	99	99	99	99	99	 yes	 yes
dk	 somewhat	 somewhat	 okay	 99	99	3	2	99	3	99	4	 yes	 yes
y	 somewhat	 somewhat	 good	 99	99	4	3	99	3	99	4	 yes	 yes
y	 somewhat	 somewhat	 good	 99	4	99	99	4	99	99	4	 yes	 yes
dk	 somewhat	 somewhat	 verygood	 3	99	1	2	99	99	99	4	 maybe	 yes
y	 very	 very	 verygood	 99	99	4	99	99	5	5	5	 maybe	 yes
y	 very	 very	 verygood	 99	99	4	99	99	5	5	5	 maybe	 yes
y	 very	 very	 verygood	 99	99	99	99	99	99	99	99	 yes	 yes
y	 very	 somewhat	 verygood	 3	99	2	99	99	99	99	99	 yes	 yes
y	 very	 somewhat	 verygood	 3	99	99	99	99	99	4	5	 yes	 yes
y	 very	 very	 verygood	 3	99	99	99	99	99	4	5	 yes	 yes
dk	 very	 somewhat	 verygood	 99	4	99	99	5	99	99	4	 yes	 yes
