y	 very	 very	 verygood	 99	99	66	99	99	99	99	99	 yes	 yes
y	 very	 very	 verygood	 99	99	66	99	99	99	99	99	 yes	 yes
y	 somewhat	 very	 verygood	 99	99	66	99	99	99	99	99	 yes	 yes
y	 somewhat	 somewhat	 good	 99	99	3	99	99	99	99	99	 maybe	 yes
y	 very	 somewhat	 verygood	 99	99	5	99	99	99	99	99	 yes	 yes
y	 somewhat	 somewhat	 good	 99	99	3	99	99	99	99	99	 maybe	 yes
dk	 somewhat	 somewhat	 verygood	 99	99	66	99	99	99	99	99	 yes	 yes
y	 very	 very	 verygood	 99	99	66	99	99	99	99	66	 yes	 yes
y	 very	 very	 verygood	 5	99	5	99	99	99	99	99	 yes	 yes
y	 very	 very	 verygood	 99	5	5	99	99	99	99	99	 yes	 yes
y	 very	 very	 verygood	 5	99	5	99	99	99	99	99	 yes	 yes
y	 somewhat	 somewhat	 verygood	 99	5	5	99	99	99	99	99	 maybe	 yes
y	 somewhat	 somewhat	 verygood	 99	5	5	99	99	99	99	99	 maybe	 yes
y	 very	 very	 verygood	 99	99	66	99	99	99	99	99	 yes	 yes
dk	 very	 very	 verygood	 99	5	5	99	99	99	99	99	 yes	 yes
y	 very	 somewhat	 good	 99	99	4	99	99	99	99	99	 yes	 yes
dk	 very	 very	 verygood	 99	5	5	99	99	99	99	99	 yes	 yes
y	 somewhat	 somewhat	 good	 99	99	4	99	99	99	99	99	 yes	 yes
y	 somewhat	 unsure	 good	 3	2	5	4	99	99	99	99	 no	 maybe
y	 very	 very	 verygood	 99	99	66	99	99	99	99	99	 yes	 maybe
y	 very	 somewhat	 verygood	 5	99	5	99	99	99	99	99	 maybe	 maybe
y	 very	 very	 verygood	 99	99	66	99	99	99	99	99	 yes	 yes
y	 very	 very	 verygood	 99	99	66	99	99	99	99	99	 yes	 yes
y	 very	 very	 verygood	 99	99	5	99	99	99	99	99	 yes	 yes
y	 somewhat	 somewhat	 good	 99	99	5	99	4	99	99	99	 yes	 yes
y	 very	 very	 verygood	 3	3	5	99	99	99	99	99	 yes	 yes
y	 very	 somewhat	 verygood	 66	99	66	99	99	99	99	99	 maybe	 maybe
y	 very	 very	 verygood	 5	99	5	99	99	99	99	99	 yes	 yes
dk	 somewhat	 somewhat	 verygood	 66	99	66	99	99	99	99	99	 maybe	 maybe
y	 very	 very	 verygood	 5	99	5	99	99	99	99	99	 yes	 yes
dk	 somewhat	 somewhat	 good	 66	99	66	99	99	99	99	99	 maybe	 maybe
dk	 unsure	 very	 verygood	 66	66	99	99	99	99	99	99	 yes	 yes
y	 very	 very	 verygood	 66	99	66	99	66	99	99	99	 yes	 maybe
