,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,female,11,Alittle,3,4,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,never,yes,home,veryregularly,yes
1,female,13,Alittle,2,not_used,3,5,not_used,not_used,not_used,2,not_used,verygood,other,yes,never,yes,home,regularly,yes
2,female,12,No,not_used,not_used,5,4,4,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,no,regularly,yes
3,female,12,No,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,sometimes,yes,home,veryregularly,yes
4,female,12,No,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,sometimes,yes,home,veryregularly,yes
5,female,12,Alot,5,5,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
6,female,12,Alot,5,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,sometimes,yes,home,regularly,yes
7,female,11,Alittle,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,rarely,yes,HomeSchool,regularly,yes
8,female,11,Alot,not_rated,not_rated,not_rated,not_used,not_rated,not_rated,not_used,not_rated,not_used,verygood,english,yes,sometimes,yes,home,veryregularly,yes
9,female,14,No,3,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
10,female,15,No,3,not_used,5,5,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,sometimes,yes,home,veryregularly,yes
11,female,15,Alittle,not_used,not_used,5,5,5,not_used,not_used,not_used,not_used,verygood,other,yes,sometimes,yes,home,regularly,yes
12,female,15,Alittle,2,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
13,female,13,Alittle,2,not_used,5,3,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
14,female,16,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,maybe,never,yes,school,regularly,yes
15,female,15,Alot,not_used,not_used,4,not_used,5,not_used,not_used,2,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
16,female,13,Alittle,2,not_used,not_used,5,5,3,not_used,3,not_used,verygood,none,yes,never,yes,school,regularly,yes
17,female,13,Alittle,3,not_used,5,not_used,5,4,not_used,3,not_used,verygood,none,yes,never,yes,school,regularly,yes
18,female,13,Alittle,2,not_used,4,5,not_used,not_used,not_used,5,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
19,female,16,Alot,5,4,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,rarely,yes,home,veryregularly,maybe
20,female,14,No,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,other,yes,never,yes,school,sometimes,yes
21,female,14,No,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,other,yes,never,yes,school,sometimes,yes
22,female,14,No,not_used,3,not_used,not_used,3,not_used,not_used,not_used,not_used,good,other,yes,never,yes,home,sometimes,yes
23,female,15,No,not_used,4,not_used,not_used,3,not_used,not_used,not_used,not_used,good,other,yes,never,yes,home,sometimes,yes
24,female,14,No,5,not_used,5,3,3,5,not_used,5,not_used,verygood,other,yes,sometimes,yes,home,regularly,yes
25,female,12,Alittle,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,no,never,yes
26,female,12,No,3,not_used,2,2,3,not_used,not_used,2,not_used,verygood,english,yes,sometimes,yes,no,sometimes,yes
27,female,12,No,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,both,yes,never,yes,no,never,yes
28,female,13,Alittle,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,english,yes,never,yes,no,regularly,yes
29,female,13,No,4,not_used,3,5,5,not_used,not_used,5,not_used,verygood,experience,yes,never,yes,no,never,yes
30,female,13,No,not_used,5,not_used,not_used,4,not_used,not_used,not_used,not_used,verygood,none,maybe,never,yes,home,sometimes,maybe
31,female,12,No,not_used,5,not_used,3,4,not_used,not_used,not_used,not_used,okay,none,maybe,never,yes,no,sometimes,yes
32,female,15,No,not_used,3,2,not_used,3,not_used,not_used,not_used,not_used,okay,experience,yes,rarely,yes,no,rarely,yes
33,female,16,No,not_used,5,4,not_used,5,not_used,not_used,not_used,not_used,verygood,experience,yes,rarely,yes,home,sometimes,yes
34,female,12,Alittle,not_rated,not_rated,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,verygood,english,yes,sometimes,yes,no,sometimes,yes
35,male,15,No,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,okay,other,yes,never,yes,home,veryregularly,yes
36,male,15,Alittle,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,okay,other,yes,rarely,yes,home,veryregularly,yes
37,male,8,No,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,home,never,yes
38,male,14,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,home,never,yes
39,male,16,Alittle,5,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,okay,other,maybe,never,yes,home,veryregularly,maybe
40,male,10,Alot,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,home,never,yes
41,male,9,No,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,rarely,yes
