,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,female,12,Alittle,4,not_used,5,not_used,3,5,not_used,5,not_used,good,none,maybe,rarely,yes,home,veryregularly,maybe
1,female,12,Alittle,not_used,not_used,4,2,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
2,female,13,No,1,not_used,5,not_used,not_used,5,not_used,not_used,not_used,okay,none,maybe,rarely,yes,home,veryregularly,maybe
3,female,13,Alittle,2,not_used,5,not_used,not_used,5,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
4,female,10,No,not_used,not_used,5,5,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
5,female,14,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
6,female,11,No,not_used,not_used,5,1,not_used,5,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
7,female,11,No,not_used,not_used,5,1,not_used,3,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
8,female,13,No,5,5,5,not_used,5,5,not_used,5,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
9,female,13,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
10,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
11,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
12,female,14,Alittle,not_used,not_used,4,2,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,sometimes,yes
13,female,10,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
14,female,10,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
15,female,10,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
16,female,10,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
17,female,10,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
18,female,10,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
19,female,10,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
20,female,12,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,home,veryregularly,yes
21,female,14,No,not_used,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
22,female,14,Alittle,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,veryregularly,yes
23,female,12,No,not_rated,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,maybe,never,no,home,sometimes,maybe
24,female,10,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
25,female,14,No,4,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,home,veryregularly,yes
26,female,13,No,3,not_used,3,not_used,2,4,not_used,4,not_used,good,none,yes,sometimes,yes,home,veryregularly,maybe
27,female,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,no,sometimes,yes
28,female,12,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,sometimes,yes
29,female,13,Alittle,2,4,5,3,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
30,female,13,Alittle,3,4,4,5,3,2,not_used,5,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
31,female,14,Alittle,not_rated,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,maybe
32,female,11,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,english,maybe,never,yes,home,rarely,yes
33,female,10,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,home,sometimes,yes
34,female,15,Alittle,5,not_used,3,1,3,2,not_used,5,not_used,okay,none,yes,never,yes,HomeSchool,veryregularly,yes
35,female,13,Alittle,2,not_used,4,3,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
36,female,13,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
37,female,13,Alittle,2,not_used,4,3,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
38,female,12,Alittle,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
39,female,11,No,3,not_used,5,not_used,2,not_used,not_used,1,not_used,verygood,none,yes,never,yes,no,sometimes,yes
40,female,10,No,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,sometimes,yes,no,never,yes
41,female,11,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,never,yes
42,female,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,never,yes
43,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,HomeSchool,veryregularly,yes
44,female,10,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,home,never,yes
45,female,11,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
46,female,12,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
47,female,12,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,never,yes
48,female,13,No,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
49,female,13,No,not_used,not_used,5,not_used,not_used,not_used,not_used,2,not_used,verygood,none,yes,never,yes,home,sometimes,yes
50,female,12,Alittle,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
51,female,12,Alittle,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
52,female,13,No,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,never,yes
53,female,12,No,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,home,sometimes,yes
54,female,11,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,maybe,never,yes,no,sometimes,maybe
55,female,11,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,good,none,maybe,never,yes,home,sometimes,yes
56,female,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,home,veryregularly,yes
57,female,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
58,male,13,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
59,male,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
60,female,16,No,3,not_used,5,not_used,2,not_used,not_used,1,not_used,verygood,none,yes,never,yes,no,sometimes,yes
61,female,13,No,not_rated,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,okay,none,maybe,never,yes,no,never,yes
62,female,12,No,not_rated,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,good,none,maybe,never,yes,no,never,yes
63,female,13,Alittle,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
64,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,HomeSchool,veryregularly,yes
65,female,15,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,no,sometimes,yes
66,female,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
67,male,11,No,not_used,not_used,1,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
68,male,10,Alittle,not_rated,not_used,not_rated,not_used,not_used,not_rated,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,maybe
69,male,11,No,not_used,not_used,5,1,not_used,3,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,maybe
70,male,14,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,school,sometimes,yes
71,male,10,No,not_used,not_used,1,not_used,not_used,not_used,not_used,not_used,not_used,good,none,maybe,never,yes,no,never,yes
72,male,18,Alot,not_rated,not_rated,not_used,not_used,not_rated,not_used,not_used,not_rated,not_used,okay,english,yes,veryregularly,yes,home,veryregularly,yes
73,male,13,No,not_used,not_used,5,not_used,2,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
74,male,15,Alittle,not_rated,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,veryregularly,yes
75,male,15,No,not_rated,not_used,not_used,not_rated,not_used,not_used,not_used,not_rated,not_used,okay,none,maybe,never,yes,home,veryregularly,maybe
76,male,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,sometimes,yes
77,male,12,No,not_used,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
