,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
69,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
70,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
71,yes,very,very,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
72,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
73,yes,very,very,verygood,not_used,not_used,1,not_used,not_used,not_used,not_used,not_used,yes,yes
74,yes,unsure,very,verygood,2,4,5,3,not_used,4,not_used,3,yes,yes
75,yes,unsure,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
76,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
77,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
78,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
79,yes,very,very,verygood,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
80,yes,somewhat,somewhat,good,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
81,yes,somewhat,somewhat,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
82,yes,somewhat,unsure,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
83,yes,very,somewhat,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
84,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
85,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
86,yes,very,very,verygood,not_used,5,not_used,not_used,5,not_used,not_used,not_used,yes,yes
87,yes,very,somewhat,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
88,yes,somewhat,somewhat,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
89,yes,very,very,verygood,5,not_used,5,not_used,5,not_used,5,not_used,yes,maybe
90,yes,very,very,verygood,5,not_used,5,not_used,5,5,5,not_used,yes,yes
91,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
92,yes,very,very,verygood,not_used,not_used,5,not_used,5,not_used,not_used,not_used,yes,yes
93,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_rated,not_used,yes,yes
94,yes,very,very,verygood,5,not_used,5,not_used,5,not_used,not_used,not_used,yes,maybe
95,yes,very,very,verygood,5,not_used,5,not_used,5,not_used,not_used,not_used,yes,yes
96,yes,very,very,verygood,5,not_used,5,not_used,5,not_used,not_used,not_used,yes,yes
97,yes,very,very,verygood,5,not_used,5,not_used,5,not_used,5,not_used,yes,yes
98,yes,unsure,notmuch,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
99,yes,very,very,verygood,5,not_used,5,not_used,5,not_used,5,not_used,yes,maybe
100,yes,unsure,somewhat,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
101,yes,very,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
102,yes,very,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
103,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
104,yes,somewhat,somewhat,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
105,yes,very,somewhat,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
106,yes,very,very,verygood,not_used,5,5,not_used,not_used,5,5,5,yes,yes
107,yes,very,very,verygood,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
108,yes,very,very,verygood,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
109,yes,unsure,somewhat,verygood,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_rated,yes,yes
