,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,female,15,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,okay,english,yes,sometimes,yes,no,never,yes
1,female,12,Alittle,not_used,not_rated,not_rated,not_rated,not_rated,not_rated,not_used,not_used,not_used,verygood,other,yes,never,yes,home,sometimes,yes
2,female,8,No,3,4,2,5,1,5,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
3,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,no,sometimes,yes
4,female,12,No,not_used,not_used,not_used,not_used,3,not_used,not_used,4,not_used,verygood,experience,yes,never,yes,home,sometimes,yes
5,female,11,No,not_used,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
6,female,15,No,3,not_used,2,2,not_used,4,not_used,4,not_used,good,none,yes,rarely,yes,home,veryregularly,yes
7,female,18,Alittle,not_used,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,other,yes,sometimes,yes,HomeSchool,regularly,yes
8,female,15,Alittle,not_used,not_rated,not_rated,not_rated,not_rated,not_rated,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
9,female,7,No,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,sometimes,yes,no,sometimes,yes
10,female,10,Alittle,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,verygood,english,yes,sometimes,yes,no,sometimes,yes
11,female,12,Alot,5,4,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,sometimes,yes,home,veryregularly,yes
12,female,8,No,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,verygood,other,yes,never,yes,home,sometimes,yes
13,female,7,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,rarely,yes
14,female,12,Alittle,5,5,5,5,5,not_used,not_used,not_used,not_used,good,other,yes,sometimes,yes,home,sometimes,maybe
15,female,11,Alot,5,5,4,3,5,not_used,not_used,not_used,not_used,verygood,other,yes,sometimes,yes,home,veryregularly,yes
16,male,18,Alot,4,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,regularly,yes,home,veryregularly,no
17,male,9,Alot,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,not_used,good,none,yes,never,yes,no,regularly,yes
18,male,11,No,not_used,3,not_used,5,not_used,3,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
19,male,9,Alittle,not_used,1,4,5,2,not_used,not_used,not_used,not_used,verygood,experience,yes,sometimes,yes,no,sometimes,yes
20,male,11,Alot,5,5,5,5,5,not_used,not_used,not_used,not_used,verygood,other,yes,sometimes,yes,home,veryregularly,yes
21,male,17,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,never,yes,home,veryregularly,yes
22,male,16,Alittle,5,5,5,5,2,4,not_used,3,not_used,good,none,yes,rarely,yes,home,veryregularly,yes
23,male,12,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,sometimes,yes
24,male,10,Alot,5,5,5,3,5,4,not_used,5,not_used,verygood,other,yes,sometimes,yes,home,veryregularly,yes
25,male,12,Alot,5,5,5,5,5,4,not_used,4,not_used,verygood,other,yes,sometimes,yes,home,veryregularly,yes
26,male,14,Alot,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
27,male,18,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,other,yes,rarely,yes,home,veryregularly,maybe
28,male,18,No,4,not_used,5,not_used,4,not_used,not_used,4,not_used,okay,other,yes,sometimes,yes,home,veryregularly,maybe
29,male,18,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,good,english,yes,never,yes,no,sometimes,yes
30,male,14,No,not_used,not_used,5,4,not_used,3,not_used,not_used,not_used,good,none,yes,veryregularly,yes,home,veryregularly,yes
31,male,17,Alittle,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,good,english,yes,regularly,yes,no,regularly,maybe
32,male,9,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,maybe
33,male,12,No,1,5,5,5,not_used,1,not_used,5,not_used,verygood,none,yes,rarely,yes,home,regularly,yes
34,male,14,No,3,not_used,2,4,not_used,5,not_used,not_used,not_used,verygood,other,maybe,never,yes,HomeSchool,regularly,yes
